Model,CV_R2_Mean,CV_R2_Std,Full_Data_R2,RMSE,MAE,Algorithm_Type
RandomForest_Advanced,0.9971983356481395,0.0043598765114490155,0.9999262968502699,0.013423127040810752,0.0033833113648164275,Tree-based
RandomForest_Optimized,0.9970663681832695,0.004639880457364878,0.9999587673222861,0.010039947602044812,0.0026926558035092053,Tree-based
Voting_Ensemble,0.9966861422863428,0.006236516797743578,0.9999903911210629,0.004846710029311936,0.0013365223682946785,Ensemble
XGBoost_Advanced,0.9951612909002172,0.009382702316627833,0.9999990251455054,0.001543762814756453,0.0006238587239072305,Gradient Boosting
Stacking_Ensemble,0.9942017061547471,0.011350561226817286,0.9999617863689028,0.00966539995531484,0.004880136232971495,Ensemble
LightGBM_Advanced,0.994132155628904,0.011505902280752675,0.9999983388551152,0.002015182732287942,0.0008022140872913897,Gradient Boosting
