feature,importance
meteorolgicas_em_08_01_ws,5.550836927395611e-06
temp_variance,5.440767064809108e-06
day_of_year,5.336950828031351e-06
elevation_irradiance_interaction,5.12842999130367e-06
day_angle,5.078174026221733e-06
seguidores_ct08_gcu081_t0808029_pos_ang,4.994359365716935e-06
meteorolgicas_em_03_02_t_amb,4.707200775246898e-06
day,4.588204965844243e-06
avg_wind_speed,4.464450629788328e-06
meteorolgicas_em_03_02_t_dlogger,4.41345681483942e-06
seguidores_ct03_gcu031_t0308035_pos_obj,4.1779379162156675e-06
seguidores_ct03_gcu031_t0308035_pos_ang,4.085553211692524e-06
meteorolgicas_em_03_02_wd,3.5164818461980436e-06
meteorolgicas_em_03_02_ws,3.183277467928764e-06
day_of_week,2.2022606079756752e-06
meteorolgicas_em_03_02_desviacin_incidente,2.0954314708629926e-06
minute,1.8272073020837026e-06
month,1.7284186674233908e-06
gii_variance,1.3465568241402657e-06
seguidores_ct08_gcu081_t0808029_workingmode,1.2143682285807507e-06
year,4.827560949908395e-07
ppc_consig_p,0.0
seguidores_ct03_gcu031_t0308035_workingmode,0.0
celulas_ctin03_cc_03_2_wind_speed,0.0
celulas_ctin08_cc_08_1_wind_speed,0.0
celulas_ctin08_cc_08_2_wind_speed,0.0
celulas_ctin03_cc_03_1_wind_speed,0.0
